infection,range_lo_d,range_hi_d,usual_lo_d,usual_hi_d,open_ended,timing_text,pathogen,route,syndrome,core,rare,clue,first_test,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Papua New Guinea,Solomon Islands,Vanuatu,Kiribati,Tuvalu,New Caledonia,French Polynesia,South Asia,SE Asia – mainland,SE Asia – maritime,Sub-Saharan Africa,N Africa / Middle East,Latin America / Caribbean,N Australia,S Australia / NZ region,North America,N Europe / N Asia
Travellers' diarrhoea (ETEC and others),0.5,3,1,2,0,1–2 d (12 h–3 d),bac,food,gi,0,0,"Watery diarrhoea, usually afebrile and self-limiting.",Usually clinical; stool PCR if severe/febrile,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,u,u
"Bacterial gastroenteritis (NTS, Campylobacter, Shigella)",0.5,10,1,3,0,1–3 d (12 h–10 d),bac,food,gi,0,0,"Acute diarrhoea ± fever; STEC → bloody, afebrile, HUS risk.",Stool culture + enteric PCR before antibiotics,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Influenza / COVID-19 (incl. avian A(H5N1)),1,10,1,4,0,1–4 d (1–10 d),vir,p2p,resp,0,0,Respiratory illness; avian influenza if sick-bird/poultry/cattle contact.,Respiratory viral PCR ± CXR,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Yellow fever,3,6,3,6,0,3–6 d,vir,mosq,sys,0,1,"Fever, jaundice, bleeding in unvaccinated traveller; Africa/S America only.",PCR/serology via reference lab; notify,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,c,absent,u,absent,absent,absent,absent
Chikungunya,1,12,3,7,0,3–7 d (1–12 d),vir,mosq,sys,0,0,Prominent symmetrical polyarthralgia ± rash; may persist months.,Alphavirus PCR (first week)/serology via reference lab,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,absent,absent,absent,absent
Dengue,3,14,4,7,0,4–7 d (3–14 d),vir,mosq,sys,1,0,"Retro-orbital headache, myalgia, leucopenia + thrombocytopenia, AST>ALT.",Dengue NS1/IgM/IgG (first 5 d NS1); PCR via reference lab,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,u,c,u,absent,u,absent
Zika,3,14,4,7,0,4–7 d (3–14 d),vir,mosq,sys,0,0,"Mild fever, rash, conjunctivitis; significance in pregnancy.",PCR blood+urine; serology cross-reacts with dengue,u,u,u,u,u,u,u,u,u,u,u,u,absent,u,u,u,absent,u,absent,absent,absent,absent
Legionella,2,14,5,6,0,5–6 d (2–14 d),bac,env,resp,0,1,Pneumonia ± hyponatraemia/diarrhoea after hotels/spas/cruises.,Urinary antigen (only serogroup 1/pneumophila) + sputum/NPS PCR,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
West Nile virus,2,14,3,10,0,3–10 d (2–14 d),vir,mosq,cns,0,1,"Mostly asymptomatic/febrile; neuroinvasive (meningoencephalitis, flaccid paralysis) in <1%, esp. older adults.",Flavivirus IgM (serum/CSF); PCR low yield — reference lab.,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,absent,absent,absent,u,u
Melioidosis,1,21,4,9,1,4–9 d (1–21 d; latent for years),bac,env,resp,0,1,Pneumonia/sepsis/abscesses after wet-season soil/water; diabetes.,Culture (warn lab: B. pseudomallei); ID review,u,absent,absent,absent,absent,u,absent,absent,absent,absent,u,absent,u,c,c,u,absent,u,c,absent,absent,absent
Japanese encephalitis,5,15,6,10,0,6–10 d (5–15 d),vir,mosq,cns,0,1,Encephalitis after rural Asia / now Australia; movement disorder.,Flavivirus IgM CSF+serum via reference lab,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,u,absent,absent,absent,u,absent,absent,absent
"Viral haemorrhagic fever (Ebola, Marburg, Lassa, CCHF)",2,21,5,12,0,5–12 d (2–21 d),vir,p2p,vhf,0,1,HCID — apply risk assessment before phlebotomy (see guideline §2).,STOP: discuss with Clinical Microbiologist on call first,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,absent,absent,u,u,absent,absent,absent,absent,absent
Ross River / Barmah Forest,3,21,7,9,0,7–9 d (3–21 d),vir,mosq,sys,0,1,Fever + polyarthralgia ± rash after Australia/Pacific.,Alphavirus serology via reference lab,u,absent,absent,absent,absent,u,u,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,c,c,absent,absent
Leptospirosis,2,30,5,14,0,5–14 d (2–30 d),bac,env,sys,1,0,"Myalgia (calves), conjunctival suffusion; severe = jaundice+AKI (Weil's).",PCR blood (wk1)/urine (later) + serology,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,u,c,c,u,u,c
Scrub typhus / other rickettsioses,2,21,6,12,0,6–12 d (2–21 d),bac,arth,sys,0,0,"Fever, headache, rash ± eschar; thrombocytopenia, transaminitis.",Eschar/EDTA PCR; paired serology. Treat empirically: doxycycline.,absent,absent,absent,absent,absent,u,u,u,absent,absent,absent,absent,c,c,c,u,u,u,c,u,c,u
Giardia / Cryptosporidium,4,20,6,15,1,6–15 d (can be prolonged),par,food,gi,0,0,"Prolonged bloating, steatorrhoea, weight loss; usually afebrile.",Stool multiplex PCR / antigen,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
MVE / Kunjin,5,28,7,14,0,7–14 d (5–28 d),vir,mosq,cns,0,1,"Encephalitis after N/inland Australia, esp. after heavy rain.",Flavivirus IgM CSF+serum via reference lab,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,absent,absent
Chagas disease (acute),5,40,7,14,1,1–2 wk (acute),par,arth,sys,0,1,"Often silent; chagoma/Romaña sign; triatomine exposure, rural L America.",Blood film/PCR (acute); serology; refer,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,absent,absent,absent,absent
Lyme borreliosis,3,30,7,14,0,7–14 d (3–30 d),bac,arth,sys,0,0,"Erythema migrans (expanding, often central-clearing rash) after Ixodes tick bite; later arthritis, carditis or neuroborreliosis.",Two-tier serology (EIA then immunoblot); PCR of synovial fluid where relevant. Treat clinically if EM present.,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,c,c
